fullVisitorId,channelGrouping,hits_time,geoNetwork_country,geoNetwork_city,totals_totalTransactionRevenue,totals_transactions,totals_timeOnSite,totals_pageviews,visitId,hits_type,hits_product_productRefundAmount,hits_product_productQuantity,hits_product_productPrice,hits_product_productRevenue,hits_product_productSKU,hits_product_v2ProductName,hits_product_v2ProductCategory,hits_product_productVariant,hits_item_currencyCode,hits_item_itemQuantity,hits_item_itemRevenue,hits_transaction_transactionRevenue,hits_transaction_transactionId,hits_page_pageTitle,hits_page_searchKeyword,hits_page_pagePathLevel1,date_formatted
0300186978392444170,Direct,305569,United States,Cupertino,120000000,1,334,15,1490596225,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703261379,Checkout Confirmation,,/ordercompleted.html,3/26/2017
3999492719199285827,Referral,1035318,United States,Mountain View,120000000,1,1035,16,1490588140,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703261407,Checkout Confirmation,,/ordercompleted.html,3/26/2017
9054145390111193851,Referral,1522498,United States,Sunnyvale,120000000,1,2949,27,1490657104,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703272285,Checkout Confirmation,,/ordercompleted.html,3/27/2017
7608429235755135445,Direct,212910,United States,Austin,120000000,1,213,12,1490723506,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703282159,Checkout Confirmation,,/ordercompleted.html,3/28/2017
2216525624687034992,Direct,409441,United States,Cambridge,120000000,1,409,14,1490710361,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703282192,Checkout Confirmation,,/ordercompleted.html,3/28/2017
5482058914145405530,Referral,218649,United States,Mountain View,120000000,1,219,17,1490818957,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703292102,Checkout Confirmation,,/ordercompleted.html,3/29/2017
0315831944301508346,Direct,552090,United States,San Francisco,120000000,1,552,19,1490994997,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201703311910,Checkout Confirmation,,/ordercompleted.html,3/31/2017
0068642516894911510,Direct,1217309,United States,Mountain View,120000000,1,1217,19,1491235237,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704032150,Checkout Confirmation,,/ordercompleted.html,4/3/2017
4227763260329613732,Referral,117433,United States,Chicago,120000000,1,117,8,1491407684,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704051881,Checkout Confirmation,,/ordercompleted.html,4/5/2017
3308148798891238932,Referral,242866,United States,Sunnyvale,120000000,1,243,13,1491974818,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704112093,Checkout Confirmation,,/ordercompleted.html,4/11/2017
6993751975063300250,Referral,865607,Cyprus,not available in demo dataset,120000000,1,950,19,1491962431,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704112254,Checkout Confirmation,,/ordercompleted.html,4/11/2017
9774449974386413843,Direct,517937,United States,Palo Alto,120000000,1,849,13,1492010084,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704122070,Checkout Confirmation,,/ordercompleted.html,4/12/2017
8747386541438456664,Referral,1038564,United States,not available in demo dataset,120000000,1,1039,13,1492116269,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704131941,Checkout Confirmation,,/ordercompleted.html,4/13/2017
6173227252941785100,Referral,373161,United States,Austin,120000000,1,373,16,1492197803,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704141553,Checkout Confirmation,,/ordercompleted.html,4/14/2017
411341845183659183,Referral,438723,United States,Mountain View,120000000,1,439,18,1492206120,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704141618,Checkout Confirmation,,/ordercompleted.html,4/14/2017
5995402405262750807,Referral,914296,United States,not available in demo dataset,120000000,1,914,24,1492288500,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704151195,Checkout Confirmation,,/ordercompleted.html,4/15/2017
